category,fd_level,mean,sem,n
body_part,FD12,0.05885963979548061,0.0036407698905294643,501
body_part,FD14,0.05284921221141481,0.003745782367952703,494
body_part,FD16,0.034134411409094574,0.0032172284715774766,491
person,FD12,0.15868018974314466,0.00694457471481947,501
person,FD14,0.14113024457085793,0.0067253345662931915,494
person,FD16,0.12312255906801466,0.006596844105328779,491
face,FD12,0.11108861651280261,0.006395590895900761,501
face,FD14,0.08790329711579505,0.005394736777118188,494
face,FD16,0.09190658907479766,0.005885222377217164,491
insect_bug,FD12,0.01959111744628763,0.002211935616686547,501
insect_bug,FD14,0.023825282867258935,0.002426633177204343,494
insect_bug,FD16,0.031007163216474936,0.002897688597736134,491
reptile,FD12,0.028560169734218706,0.002912011101427499,501
reptile,FD14,0.03600622590988702,0.003382402313259716,494
reptile,FD16,0.03649791154583924,0.0042102363283477,491
bird,FD12,0.03530457313778649,0.0028963331575207023,501
bird,FD14,0.04174671615683901,0.003856783070086461,494
bird,FD16,0.035641008320920146,0.0032463825257014237,491
mammal,FD12,0.13986069315262914,0.006702320225195579,501
mammal,FD14,0.18007550082103405,0.007754552214323556,494
mammal,FD16,0.17025490287822073,0.007824265024139406,491
fish_aquatic,FD12,0.02740837308258038,0.0030501570120920383,501
fish_aquatic,FD14,0.03646283782008494,0.003995778640892171,494
fish_aquatic,FD16,0.037471265107778366,0.0034537987086133677,491
