cluster,Low,Mid,High,total,p_Low,p_Mid,p_High,log_odds_HvsL,label
29.0,97,65,45,207,0.019864837190251894,0.013284283670549764,0.009284093253558903,-0.7605912941452528,"plus, separation, two, open"
5.0,91,48,46,185,0.018636084374360026,0.009809932556713672,0.009490406436971322,-0.674766575698285,"water, spill, mess, pipe"
10.0,69,35,35,139,0.014130657382756501,0.00715307582260372,0.007220961419434702,-0.6712909043775346,"ink, paint, painting, book"
14.0,189,175,107,471,0.0387057137005939,0.0357653791130186,0.022075510625128945,-0.5614988899870959,"ocean, lake, river, sea"
17.0,89,67,51,207,0.018226500102396067,0.013693030860412835,0.010521972354033423,-0.5493707377552841,"land, mountain, cliff, phoenix"
28.0,79,69,49,197,0.016178578742576284,0.014101778050275904,0.010109345987208583,-0.4701906208812776,"fire, explosion, conversation, death"
9.0,65,39,41,145,0.01331148883882859,0.00797057020232986,0.008458840519909222,-0.4533722827055522,"hammer, hole, splatter, dots"
1.0,119,87,80,286,0.024370264181855415,0.017780502759043533,0.016505054672993603,-0.38967747732830116,"alien, sky, space, moon"
13.0,122,116,92,330,0.024984640589801353,0.02370733701205804,0.018980812873942644,-0.2748199798623192,"dancer, dancing, figure, dance"
26.0,56,45,43,144,0.011468359614990785,0.009196811771919068,0.008871466886734063,-0.2567262248747806,"smile, troll, laughing, angry"
16.0,39,45,33,117,0.007986893303297153,0.009196811771919068,0.006808335052609861,-0.15963258573533334,"cave, rock, stone, volcano"
19.0,93,82,80,255,0.019045668646323982,0.016758634784385856,0.016505054672993603,-0.14316494859642326,"tree, trees, forest, flower"
12.0,604,516,533,1653,0.12369445013311489,0.10545677498467199,0.10996492675881989,-0.1176519361898114,"man, woman, person, baby"
3.0,46,31,45,122,0.009420438255171002,0.00633558144287758,0.009284093253558903,-0.014577519731974853,"eating, teapot, food, milk"
0.0,382,425,379,1186,0.07823059594511571,0.0868587778459023,0.0781926965133072,-0.0004845691122512541,"island, continent, islands, australia"
11.0,150,153,152,455,0.030718820397296745,0.03126916002452483,0.03135960387868785,0.02064438981229788,"bird, chicken, duck, eagle"
31.0,249,237,253,739,0.050993241859512595,0.04843654199877376,0.05219723540334227,0.023335968148864517,"dog, cat, lion, dogs"
23.0,520,556,539,1615,0.10649191071062872,0.11363171878193337,0.11120280585929442,0.043286189747699044,"face, head, nose, skull"
30.0,121,133,128,382,0.024779848453819375,0.027181688125894134,0.026408087476789768,0.06363705845207157,"bear, cow, wolf, goat"
27.0,118,131,129,378,0.024165472045873437,0.026772940936031064,0.026614400660202188,0.09652380055008347,"rabbit, pig, bunny, rat"
-1.0,604,642,661,1907,0.12369445013311489,0.13120784794604537,0.13637301423560966,0.09757871853091027,"horse, heart, animal, mouse"
20.0,87,99,96,282,0.01781691583043211,0.02023298589822195,0.019806065607592325,0.10583426447656219,"ghost, lamp, chaos, ghosts"
2.0,33,36,37,106,0.006758140487405284,0.007357449417535254,0.007633587786259542,0.12179321206374372,"penis, bust, breast, bra"
8.0,120,141,138,399,0.024575056317837397,0.028816676885346414,0.028471219310913967,0.14715620232426074,"boot, foot, arm, legs"
25.0,343,385,433,1161,0.07024370264181855,0.07868383404864092,0.08933360841757788,0.24040406693529226,"dragon, elephant, monster, dinosaur"
22.0,57,59,73,189,0.011673151750972763,0.012058042100960556,0.015060862389106663,0.2547887335887111,"butterfly, caterpillar, worm, spider"
24.0,71,110,92,273,0.014540241654720459,0.022481095442468832,0.018980812873942644,0.26649243933580413,"witch, cartoon, demon, angel"
6.0,63,88,89,240,0.012901904566864632,0.017984876353975065,0.018361873323705386,0.35287842581519735,"hand, finger, fist, hands"
4.0,35,33,57,125,0.0071677247593692405,0.00674432863274065,0.011759851454507943,0.4950485614793605,"bat, vase, ball, cub"
15.0,117,152,194,463,0.02396067990989146,0.031064786429593295,0.04002475758200949,0.5130673025339783,"fish, seahorse, crab, whale"
7.0,21,38,37,96,0.004300634855621544,0.007766196607398324,0.007633587786259542,0.573693797777282,"blood, stomach, kidney, vomit"
21.0,15,17,35,67,0.0030718820397296746,0.0034743511138360926,0.007220961419434702,0.8545106843706574,"gremlin, ogre, gargoyle, ghoul"
18.0,19,38,45,102,0.0038910505836575876,0.007766196607398324,0.009284093253558903,0.8694740771496923,"mushroom, apple, clover, carrot"
